3260 963 848
3261 945 828
3262 908 805
3263 844 778
3264 798 747
3265 743 712
3266 698 674
3267 652 633
3268 634 588
3269 570 541
3270 533 491
3271 487 438
3272 442 384
3273 396 327
3274 332 268
3275 241 209
3276 167 148
3277 103 88
3278 39 27
3279 -24 -31
3280 -88 -90
3281 -179 -146
3282 -243 -199
3283 -298 -249
3284 -353 -295
3285 -435 -336
3286 -508 -372
3287 -545 -401
3288 -563 -424
3289 -581 -440
3290 -636 -448
3291 -636 -449
3292 -609 -442
3293 -563 -428
3294 -536 -406
3295 -563 -376
3296 -490 -340
3297 -444 -298
3298 -325 -250
3299 -280 -197
3300 -197 -140
3301 -106 -79
3302 -42 -16
3303 58 48
3304 149 113
3305 231 179
3306 295 244
3307 378 307
3308 460 367
3309 533 425
3310 570 480
3311 606 531
3312 670 578
3313 743 620
3314 753 658
3315 789 692
3316 789 721
3317 817 746
3318 835 766
3319 844 783
3320 871 796
3321 899 806
3322 881 813
3323 890 817
3324 817 819
3325 817 819
3326 817 818
3327 807 815
3328 807 811
3329 807 806
3330 817 801
3331 817 794
3332 789 788
3333 762 781
3334 753 772
3335 762 763
3336 725 753
3337 725 741
3338 743 728
3339 762 712
3340 743 693
3341 743 671
3342 734 645
3343 725 616
3344 707 582
3345 661 544
3346 625 501
3347 570 454
3348 542 402
3349 469 346
3350 396 286
3351 314 223
3352 213 156
3353 131 88
3354 39 18
3355 -24 -51
3356 -97 -120
3357 -225 -187
3358 -325 -252
3359 -408 -312
3360 -481 -367
3361 -545 -415
3362 -627 -457
3363 -691 -491
3364 -719 -515
3365 -709 -531
3366 -783 -537
3367 -792 -533
3368 -773 -519
3369 -728 -495
3370 -673 -462
3371 -609 -420
3372 -517 -370
3373 -444 -312
3374 -298 -248
3375 -179 -179
3376 -97 -105
3377 -60 -28
3378 3 50
3379 113 129
3380 222 208
3381 350 285
3382 433 360
3383 551 431
3384 643 499
3385 753 561
3386 817 618
3387 844 669
3388 908 715
3389 926 755
3390 926 789
3391 881 817
3392 890 839
3393 881 857
3394 926 870
3395 935 878
3396 908 883
3397 908 884
3398 908 882
3399 917 878
3400 890 871
3401 890 862
3402 871 851
3403 844 839
3404 844 826
3405 881 811
3406 826 795
3407 789 777
3408 725 759
3409 698 739
3410 743 717
3411 707 694
3412 689 669
3413 716 642
3414 734 613
3415 634 582
3416 579 549
3417 597 514
3418 524 477
3419 524 437
3420 405 396
3421 350 352
3422 341 307
3423 387 261
3424 213 213
3425 76 165
3426 177 117
3427 158 68
3428 85 20
3429 -152 -26
3430 -133 -71
3431 -69 -115
3432 -216 -155
3433 -316 -193
3434 -316 -228
3435 -335 -259
3436 -307 -285
3437 -444 -307
3438 -527 -325
3439 -435 -337
3440 -417 -344
3441 -426 -347
3442 -371 -344
3443 -389 -336
3444 -380 -323
3445 -472 -306
3446 -417 -284
3447 -234 -257
3448 -280 -227
3449 -353 -193
3450 -179 -156
3451 -79 -116
3452 -97 -75
3453 -207 -31
3454 -133 13
3455 149 59
3456 241 106
3457 268 153
3458 140 200
3459 177 246
3460 533 292
3461 561 336
3462 378 380
3463 241 423
3464 442 465
3465 652 505
3466 515 544
3467 469 582
3468 570 618
3469 835 653
3470 826 687
3471 670 719
3472 615 749
3473 798 778
3474 1109 804
3475 862 828
3476 643 851
3477 798 870
3478 1073 888
3479 1009 902
3480 917 914
3481 1100 923
3482 1118 928
3483 1027 931
3484 972 930
3485 853 927
3486 990 920
3487 1036 910
3488 990 896
3489 926 880
3490 689 860
3491 853 837
3492 844 810
3493 835 780
3494 881 747
3495 789 711
3496 707 672
3497 798 629
3498 798 584
3499 487 537
3500 350 487
3501 615 435
3502 606 382
3503 359 327
3504 213 272
3505 195 218
3506 314 164
3507 167 111
3508 -179 60
3509 -298 11
3510 -133 -33
3511 -69 -76
3512 -289 -115
3513 -389 -151
3514 -207 -182
3515 3 -209
3516 -225 -231
3517 -444 -250
3518 -444 -264
3519 -271 -274
3520 -207 -280
3521 -408 -282
3522 -417 -280
3523 -344 -276
3524 -298 -268
3525 -280 -257
3526 -316 -243
3527 -271 -227
3528 -261 -209
3529 -179 -189
3530 -106 -168
3531 -197 -146
3532 -179 -122
3533 -69 -98
3534 -69 -73
3535 -106 -47
3536 -5 -22
3537 58 3
3538 58 29
3539 149 55
3540 186 81
3541 122 107
3542 30 134
3543 30 160
3544 140 187
3545 250 213
3546 314 240
3547 250 267
3548 195 294
3549 359 321
3550 460 349
3551 387 376
3552 314 404
3553 405 431
3554 497 458
3555 433 483
3556 387 508
3557 506 532
3558 689 554
3559 817 573
3560 661 591
3561 551 605
3562 652 617
3563 753 626
3564 734 630
3565 643 632
3566 734 629
3567 780 622
3568 661 612
3569 561 597
3570 551 578
3571 679 556
3572 753 531
3573 661 503
3574 515 473
3575 506 441
3576 506 407
3577 414 373
3578 277 339
3579 186 306
3580 195 273
3581 222 243
3582 186 214
3583 39 188
3584 -24 164
3585 67 144
3586 76 126
3587 -15 112
3588 -51 101
3589 -51 93
3590 131 87
3591 250 84
3592 204 83
3593 131 84
3594 21 86
3595 39 90
3596 94 95
3597 76 101
3598 67 107
3599 76 113
3600 131 120
3601 186 127
3602 122 134
3603 94 141
3604 140 147
3605 241 153
3606 277 159
3607 149 165
3608 113 170
3609 177 176
3610 186 181
3611 195 185
3612 177 189
3613 195 193
3614 259 197
3615 195 201
3616 140 205
3617 204 209
3618 231 213
3619 277 217
3620 314 222
3621 277 226
3622 167 231
3623 131 236
3624 158 241
3625 231 246
3626 286 251
3627 195 256
3628 149 261
